Band,Frequency,Delta_T band,T_band avg,Percent Difference,Picowatt Loading
High,245-310,1.0612001648552754,15.295647305938177,0.06771171991889563,10.299037427937899
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_down_up.csv,detector_down.csv
Low,128-170,-3.542080204296084,20.395388037328516,-0.17097248135770968,9.152368061336364
Medium,195-245,0.0026843584787701585,19.533767594678167,0.00010285429122666362,9.945893564739166
High,245-310,1.3644002119567828,21.074598455342368,0.06331794872861318,14.224449020844494
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_down_up.csv,detector.csv
Low,128-170,-3.1485157371520756,18.129233810958684,-0.17097248135770968,8.135438276743432
Medium,195-245,0.002386096425573799,17.36334897304726,0.00010285429122668178,8.840794279768149
High,245-310,1.2128001884060293,18.73297640474877,0.06331794872861318,12.643954685195107
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_down_up.csv,detector_up.csv
Low,128-170,-2.754951270008065,15.863079584588842,-0.17097248135770968,7.118508492150503
Medium,195-245,0.002087834372377092,15.192930351416349,0.0001028542912266837,7.735694994797128
High,245-310,1.0612001648552754,16.391354354155173,0.06331794872861317,11.063460349545718
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_mid_down.csv,detector_down.csv
Low,128-170,-2.2540510390975075,12.057432531322547,-0.18379485537765855,5.3921208281420006
Medium,195-245,0.001708228122854057,11.455849646979814,0.0001066119919680669,5.807691249102699
High,245-310,0.868254680336134,12.471406918949224,0.06796395692783475,8.394838232631017
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_mid_down.csv,detector.csv
Low,128-170,-2.0036009236422294,10.717717805620044,-0.1837948553776586,4.792996291681778
Medium,195-245,0.0015184249980924526,10.18297746398206,0.00010661199196806174,5.162392221424622
High,245-310,0.7717819380765634,11.085695039065978,0.06796395692783475,7.462078429005349
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_mid_down.csv,detector_up.csv
Low,128-170,-1.7531508081869502,9.378003079917535,-0.18379485537765855,4.193871755221555
Medium,195-245,0.0013286218733311965,8.910105280984299,0.00010661199196809691,4.517093193746542
High,245-310,0.6753091958169929,9.699983159182729,0.06796395692783475,6.5293186253796796
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_mid_mid.csv,detector_down.csv
Low,128-170,-2.2540510390975075,12.783110563760742,-0.17338478068647548,5.731763857364397
Medium,195-245,0.001708228122854301,12.042528074771958,0.0001244978610387643,6.120911110932171
High,245-310,0.8682546803361341,12.94191239674295,0.06560808810544569,8.722187932508545
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_mid_mid.csv,detector.csv
Low,128-170,-2.003600923642229,11.362764945565104,-0.17338478068647545,5.094901206546132
Medium,195-245,0.0015184249980925572,10.704469399797299,0.00012449786103875028,5.440809876384151
High,245-310,0.7717819380765636,11.50392213043818,0.06560808810544569,7.753055940007598
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_mid_mid.csv,detector_up.csv
Low,128-170,-1.7531508081869502,9.942419327369464,-0.17338478068647548,4.458038555727864
Medium,195-245,0.0013286218733309179,9.366410724822634,0.0001244978610387423,4.760708641836133
High,245-310,0.675309195816993,10.065931864133406,0.06560808810544567,6.783923947506646
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_mid_up.csv,detector_down.csv
Low,128-170,-2.2540510390975084,15.22090864165727,-0.14581284043049728,6.872418441821214
