,Capacitive axis,,,Inductive axis,,,,,,MHWP_v2,,,,Temperature (K),
Freq,Tx_C,Rx_C,Abs_C,Tx_L,Rx_L,Abs_L,DPh,45d X-Pol,Model:,Msh_HWP_Toltec_2019_01_13c,,,,emitted,reflected
171,0.975267,0.0157216,0.00901182,0.968904,0.00769743,0.0233981,192.67581,-19.263299,,,,,,290,45
172,0.976879,0.0140573,0.00906339,0.96559,0.01149,0.0229197,193.08644,-18.989522,,,,,,290,45
173,0.978343,0.0125188,0.00913796,0.961202,0.0163347,0.0224635,193.4523,-18.75438,,,,,,290,45
174,0.979617,0.0111479,0.00923494,0.955861,0.0221097,0.0220292,193.76777,-18.558048,,,,,,290,45
175,0.980681,0.00996517,0.0093543,0.949753,0.0286304,0.0216168,194.02844,-18.400224,,,,,,290,45
176,0.981533,0.00897105,0.00949555,0.943107,0.0356648,0.0212279,194.23122,-18.280103,,,,,,290,45
177,0.982194,0.00814738,0.00965867,0.936184,0.0429514,0.0208651,194.37456,-18.19643,,,,,,290,45
178,0.982695,0.00746135,0.00984396,0.929251,0.0502178,0.0205308,194.45841,-18.147664,,,,,,290,45
179,0.983078,0.00687058,0.0100511,0.922573,0.0571987,0.0202281,194.48422,-18.131964,,,,,,290,45
180,0.983391,0.00632893,0.0102801,0.916389,0.063651,0.0199602,194.45476,-18.147268,,,,,,290,45
181,0.983752,0.00580018,0.0104482,0.911139,0.0693418,0.0195196,194.47161,-18.133998,,,,,,290,45
182,0.984124,0.00524653,0.010629,0.906758,0.0741378,0.0191044,194.45968,-18.136821,,,,,,290,45
183,0.984532,0.00464357,0.0108248,0.903359,0.0779233,0.0187182,194.4242,-18.153021,,,,,,290,45
184,0.98498,0.00398257,0.0110373,0.901006,0.0806317,0.018362,194.37077,-18.17981,,,,,,290,45
185,0.98546,0.00327239,0.0112677,0.899719,0.0822456,0.0180354,194.30513,-18.214343,,,,,,290,45
186,0.985942,0.00253986,0.0115177,0.89947,0.0827943,0.0177358,194.23296,-18.253765,,,,,,290,45
187,0.986384,0.00182816,0.0117879,0.90019,0.0823504,0.0174597,194.15972,-18.295257,,,,,,290,45
188,0.986728,0.00119352,0.0120782,0.901773,0.0810243,0.0172025,194.09045,-18.336119,,,,,,290,45
189,0.986911,0.000700362,0.0123884,0.904085,0.0789569,0.0169581,194.0297,-18.373708,,,,,,290,45
190,0.986868,0.00041527,0.0127171,0.906967,0.076312,0.0167213,193.98135,-18.405659,,,,,,290,45
191,0.986722,0.000402452,0.0128753,0.910088,0.0732378,0.0166744,193.91405,-18.449647,,,,,,290,45
192,0.986286,0.000705909,0.013008,0.913431,0.0699215,0.0166478,193.85796,-18.488375,,,,,,290,45
193,0.985529,0.00135803,0.0131128,0.916837,0.0665278,0.0166349,193.81437,-18.520785,,,,,,290,45
194,0.984443,0.00236887,0.0131876,0.920168,0.063202,0.01663,193.78374,-18.546272,,,,,,290,45
195,0.983046,0.00372296,0.0132313,0.92331,0.0600614,0.0166283,193.76574,-18.564701,,,,,,290,45
