,Capacitive axis,,,Inductive axis,,,,,,MHWP_v1,,,,Temperature (K),
Freq,Tx_C,Rx_C,Abs_C,Tx_L,Rx_L,Abs_L,DPh,45d X-Pol,Model:,Msh_HWP_Toltec_2019_01_13g,,,,emitted,reflected
120,0.978759,0.0189041,0.00233727,0.663882,0.233967,0.102151,125.59348,-7.5430032,,,,,,290,25
121,0.972234,0.0248815,0.00288424,0.729861,0.168212,0.101927,129.21669,-7.9798624,,,,,,290,25
122,0.965074,0.0314049,0.00352069,0.787997,0.11194,0.100063,132.98368,-8.508133,,,,,,290,25
123,0.957586,0.0381691,0.00424447,0.835403,0.0679126,0.0966845,136.77589,-9.1229836,,,,,,290,25
124,0.950076,0.04487,0.00505409,0.870732,0.0371687,0.0920997,140.4804,-9.81343,,,,,,290,25
125,0.942832,0.0512194,0.00594836,0.894301,0.0189727,0.0867261,144.00419,-10.563806,,,,,,290,25
126,0.936116,0.0569566,0.00692778,0.907748,0.0112583,0.0809935,147.28207,-11.355957,,,,,,290,25
127,0.93015,0.0618568,0.00799286,0.913437,0.0112926,0.0752701,150.27806,-12.171604,,,,,,290,25
128,0.925118,0.0657366,0.00914504,0.91389,0.0162866,0.0698237,152.9817,-12.994321,,,,,,290,25
129,0.921155,0.0684579,0.010387,0.911381,0.0237997,0.0648189,155.4017,-13.810917,,,,,,290,25
130,0.91835,0.069929,0.0117206,0.907744,0.0319224,0.0603333,157.55917,-14.612034,,,,,,290,25
131,0.918135,0.0701207,0.0117443,0.903986,0.0393274,0.056687,159.61602,-15.445696,,,,,,290,25
132,0.919322,0.0690552,0.0116231,0.90127,0.0451585,0.0535718,161.491,-16.277455,,,,,,290,25
133,0.92186,0.0667832,0.0113567,0.90011,0.0489503,0.0509396,163.21394,-17.113105,,,,,,290,25
134,0.925661,0.0633954,0.0109438,0.900722,0.050545,0.0487334,164.81232,-17.961884,,,,,,290,25
135,0.930598,0.0590201,0.0103817,0.903093,0.0500136,0.0468934,166.31013,-18.8361,,,,,,290,25
136,0.936514,0.0538189,0.00966663,0.907046,0.0475925,0.0453619,167.72746,-19.75104,,,,,,290,25
137,0.943222,0.0479827,0.00879496,0.912282,0.043633,0.0440847,169.08025,-20.725009,,,,,,290,25
138,0.950512,0.041725,0.00776262,0.918429,0.0385585,0.0430124,170.38046,-21.779878,,,,,,290,25
139,0.958159,0.035275,0.00656647,0.925071,0.0328277,0.0421008,171.63627,-22.942128,,,,,,290,25
140,0.965927,0.0288679,0.00520506,0.93179,0.0268988,0.041311,172.85257,-24.244848,,,,,,290,25
141,0.972366,0.022727,0.00490656,0.938247,0.021258,0.0404945,174.00298,-25.702846,,,,,,290,25
142,0.978258,0.0170779,0.00466358,0.94408,0.0162209,0.0396992,175.10909,-27.386075,,,,,,290,25
143,0.983409,0.0121138,0.0044776,0.949048,0.0120517,0.0389004,176.16959,-29.372607,,,,,,290,25
144,0.987658,0.00799097,0.00435082,0.953011,0.00890843,0.0380809,177.18273,-31.780718,,,,,,290,25
